author,title,source,type,doi
"Stoimenov, K.",The effect of animal feeding on the development of helminths.,Veterinarna Sbirka,J,NA
"Scrimshaw, N. S.",Interrelationships between nutritional status and helminth infections.,WHO Public HeaIth Papers,J,NA
"Hogtacka, A.; Ciznar, I.",The role of iron in bacterial virulence,Epidemiologie Mikrobiologie Imunologie,J,NA
"Silakova, L. N.",Effect of host diet on the morphological and physiological characteristics of Trichinella.,Problemy parazitologii. Trudy VII Nauchnoi Konferentsii Parazitologov USSR. Part II.,J,NA
"Narr, Charlotte F.; Krist, Amy C.",Host diet alters trematode replication and elemental composition,FRESHWATER SCIENCE,J,https://doi.org/10.1086/679411
"Crompton, D.W.T.",Nutritional interactions between hosts and parasites.,Parasite-host associations: coexistence or conflict?.,B,NA
"IBEKWE, CAC; UGWUNNA, SC",THE EFFECTS OF HOST DIET ON PLASMODIUM-YOELII-NIGERIENSIS,JOURNAL OF PARASITOLOGY,J,https://doi.org/10.2307/3282812
RYBOS M; DUBINSKY P,THE EFFECT OF THE HOST DIET ON THE END PRODUCTS OF CARBOHYDRATE METABOLISM IN ASCARIDIA-GALLI,Helminthologia (Bratislava),J,NA
"Ramette, A.; Tiedje, J. M.",Effects of plant species and biogeography on Burkholderia cepacia complex species and intraspecies diversity,Abstracts of the General Meeting of the American Society for Microbiology,J,NA
"CROMPTON, DWT; NESHEIM, MC",NUTRITIONAL SCIENCE AND PARASITOLOGY - A CASE FOR COLLABORATION,BIOSCIENCE,J,https://doi.org/10.2307/1308819
"USANGA, EA",IRON METABOLIC CHANGES IN PLASMODIUM-FALCIPARUM MALARIA - PRELIMINARY-REPORT,EAST AFRICAN MEDICAL JOURNAL,J,NA
"Becker, E. R.; Waters, P. C.","Biological assay of feeding stuffs in a basal ration for coccidium-growth-promoting substance. III. Dried fish meal, alfalfa meal, white wheat flour.",Iowa State College Journal of Science,J,NA
"Houtert, M. F. J. van",Effects of diet on gastrointestinal nematode infection in ruminants.,Sustainable control of internal parasites in ruminants: Animal industries workshop.,B,NA
"Desouhant, E; Driessen, G; Amat, I; Bernstein, C",Host and food searching in a parasitic wasp Venturia canescens: a trade-off between current and future reproduction?,ANIMAL BEHAVIOUR,J,https://doi.org/10.1016/j.anbehav.2004.10.015
"Dianne, Lucile; Bollache, Loic; Lagrue, Clement; Franceschi, Nathalie; Rigaud, Thierry",Larval size in acanthocephalan parasites: Influence of intraspecific competition and effects on intermediate host behavioural changes,PARASITES & VECTORS,J,https://doi.org/10.1186/1756-3305-5-166
"Cornet, Stephane; Bichet, Coraline; Larcombe, Stephen; Faivre, Bruno; Sorci, Gabriele",Impact of host nutritional status on infection dynamics and parasite virulence in a bird-malaria system,JOURNAL OF ANIMAL ECOLOGY,J,https://doi.org/10.1111/1365-2656.12113
"Steeb, Benjamin; Claudi, Beatrice; Burton, Neil A.; Tienz, Petra; Schmidt, Alexander; Farhan, Hesso; Maze, Alain; Bumann, Dirk",Parallel Exploitation of Diverse Host Nutrients Enhances Salmonella Virulence,PLOS PATHOGENS,J,https://doi.org/10.1371/journal.ppat.1003301
"Keenan, JI; Peterson, RA; Fraser, R; Frampton, CM; Walmsley, TA; Allardyce, RA; Roake, JA",The effect of Helicobacter pylori infection and dietary iron deficiency on host iron homeostasis: A study in mice,HELICOBACTER,J,https://doi.org/10.1111/j.1083-4389.2004.00278.x
"Cressler, Clayton E.; Nelson, William A.; Day, Troy; McCauley, Edward","Disentangling the interaction among host resources, the immune system and pathogens",ECOLOGY LETTERS,J,https://doi.org/10.1111/ele.12229
"Deng, Qifeng; Yang, Sidi; Sun, Lanqing; Huang, Kai; Dong, Kedi; Zhu, Yuan; Cao, Yu; Li, Yuanyuan; Wu, Shuyan; Huang, Rui",A detrimental role of NLRP6 in host iron metabolism during Salmonella infection.,Redox biology,J,https://doi.org/10.1016/j.redox.2021.102217
"Dubinsky, P.; Rybos, M.",Dependence on host nutrition of lipid and glycogen in Ascaridia galli development.,Polnohospodarstvo,J,NA
"Obrycki, J.J.",The influence of foliar pubescence on entomophagous species.,Interactions of plant resistance and parasitoids and predators of insects.,B,NA
"Markov, G.S.; Mozgina, A.A.",The influence of the mode of nutrition on the helminthes fauna of birds from Volga and Don Rivers.,Ekologicheskaya i Eksperimentalnaya Parazitologiya,J,NA
"Jiang, F; Jeschke, WD; Hartung, W",Solute flows from Hordeum vulgare to the hemiparasite Rhinanthus minor and the influence of infection on host and parasite nutrient relations,FUNCTIONAL PLANT BIOLOGY,J,https://doi.org/10.1071/FP03225
"McDermid, Joann M.; Prentice, Andrew M.",Iron and infection: effects of host iron status and the iron-regulatory genes haptoglobin and NRAMPI (SLCIIAI) on host-pathogen interactions in tuberculosis and HIV,CLINICAL SCIENCE,J,https://doi.org/10.1042/CS20050273
"LEONOV, V. A.",Specificity of helminths in the final host.,Problemy Parazitologii (Trudy IV Nauchnoi Konferentsii Parazitologov UkrSSR).,B,NA
"Nehring, Volker; Teubner, Heide; Koenig, Sandra",Dose-independent virulence in phoretic mites that parasitize burying beetles,INTERNATIONAL JOURNAL FOR PARASITOLOGY,J,https://doi.org/10.1016/j.ijpara.2019.05.011
"MCGREGOR, IA",MALARIA - NUTRITIONAL IMPLICATIONS,REVIEWS OF INFECTIOUS DISEASES,J,NA
"McDermid, Joann M.; Hennig, Branwen J.; van der Sande, Marianne; Hill, Adrian V. S.; Whittle, Hilton C.; Jaye, Assan; Prentice, Andrew M.",Host iron redistribution as a risk factor for incident tuberculosis in HIV infection: an 11-year retrospective cohort study,BMC INFECTIOUS DISEASES,J,https://doi.org/10.1186/1471-2334-13-48
"CROMPTON, DWT",PARASITIC INFECTION AND HOST NUTRITION - INTRODUCTION,PARASITOLOGY,J,NA
"CHASE, AR; POOLE, RT",EFFECT OF HOST NUTRITION ON ALTERNARIA LEAF-SPOT OF 3 FOLIAGE PLANTS,PHYTOPATHOLOGY,J,NA
"Gujar, GT; Mittal, A; Kumari, A; Kalia, V","Host crop influence on the susceptibility of the American bollworm, Helicoverpa armigera, to Bacillus thuringiensis ssp kurstaki HD-73",ENTOMOLOGIA EXPERIMENTALIS ET APPLICATA,J,https://doi.org/10.1111/j.0013-8703.2004.00223.x
"Singh, R. P.; Chand, H.",Effect of host nutrition on Ascochyta blight disease in chickpea.,Indian Journal of Pulses Research,J,NA
"Rubert, Josep; Schweiger, Pawel J.; Mattivi, Fulvio; Tuohy, Kieran; Jensen, Kim B.; Lunardi, Andrea",Intestinal Organoids: A Tool for Modelling Diet-Microbiome-Host Interactions,TRENDS IN ENDOCRINOLOGY AND METABOLISM,J,https://doi.org/10.1016/j.tem.2020.02.004
"Todd, A. C.",Parasitism related to host nutrition.,"Proceedings 19th World Veterinary Congress, Mexico City",J,NA
"McGregor, I. A.",Malaria and nutrition.,Malaria: principles and practice of malariology. Volume 1.,B,NA
"Yvore, P.; Aycardi, J.",Effect of gastro-intestinal strongyloses on the nutrition of the host.,Bulletin des Groupements Techniques Veterinaires,J,NA
"Czerniewicz, Pawel; Sytykiewicz, Hubert; Leszczynski, Bogumil; Chrzanowski, Grzegorz; Sempruch, Cezary; Sprawka, Iwona",Effect of host plant nitrogen compounds on spring migration of the bird cherry-oat aphid (Rhopalosiphum padi L.).,Progress in Plant Protection,J,NA
"KEYMER, A; CROMPTON, DWT; WALTERS, DE",PARASITE POPULATION BIOLOGY AND HOST NUTRITION - DIETARY FRUCTOSE AND MONILIFORMIS (ACANTHOCEPHALA),PARASITOLOGY,J,https://doi.org/10.1017/S0031182000052628
"Ganzoni, A. M.; Puschmann, M.",Iron status and host defense.,Proteins of iron metabolism,J,NA
"Bedhomme, S; Agnew, P; Sidobre, C; Michalakis, Y",Virulence reaction norms across a food gradient,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,J,https://doi.org/10.1098/rspb.2003.2657
"Fromunda, V.; Popescu, S.",Correlations between nutrition and parasitic diseases.,Revista de Cresterea Animalelor,J,NA
"Mischler, John; Johnson, Pieter T. J.; McKenzie, Valerie J.; Townsend, Alan R.",Parasite infection alters nitrogen cycling at the ecosystem scale,JOURNAL OF ANIMAL ECOLOGY,J,https://doi.org/10.1111/1365-2656.12505
"Frost, Paul C.; Ebert, Dieter; Smith, Val H.",Responses of a bacterial pathogen to phosphorus limitation of its aquatic invertebrate host,ECOLOGY,J,https://doi.org/10.1890/07-0389.1
"Coop, RL; Kyriazakis, I",Nutrition-parasite interaction,VETERINARY PARASITOLOGY,J,https://doi.org/10.1016/S0304-4017(99)00070-9
"BYERS, BR; MASSAD, G; BARGHOUTHI, S; ARCENEAUX, JEL",IRON ACQUISITION AND VIRULENCE IN THE MOTILE AEROMONADS - SIDEROPHORE-DEPENDENT AND SIDEROPHORE-INDEPENDENT SYSTEMS,EXPERIENTIA,J,NA
"Munoz, G; Grutter, AS; Cribb, TH",Endoparasite communities of five fish species (Labridae : Cheilininae) from Lizard Island: how important is the ecology and phylogeny of the hosts?,PARASITOLOGY,J,https://doi.org/10.1017/S0031182005009133
"Vagenas, D.; Bishop, S. C.; Kyriazakis, I.",A model to account for the consequences of host nutrition on the outcome of gastrointestinal parasitism in sheep: model evaluation,PARASITOLOGY,J,https://doi.org/10.1017/S0031182007002624
"Clark, Martha; Fisher, Nancy C.; Kasthuri, Raj; Hand, Carla Cerami",Parasite maturation and host serum iron influence the labile iron pool of erythrocyte stage Plasmodium falciparum,BRITISH JOURNAL OF HAEMATOLOGY,J,https://doi.org/10.1111/bjh.12234
"Zuzarte-Luis, Vanessa; Mota, Maria M.",Parasite Sensing of Host Nutrients and Environmental Cues,CELL HOST & MICROBE,J,https://doi.org/10.1016/j.chom.2018.05.018
"Leon-Sicairos, Nidia; Angulo-Zamudio, Uriel A.; de la Garza, Mireya; Velazquez-Roman, Jorge; Flores-Villasenor, Hector M.; Canizalez-Roman, Adrian",Strategies of Vibrio parahaemolyticus to acquire nutritional iron during host colonization,FRONTIERS IN MICROBIOLOGY,J,https://doi.org/10.3389/fmicb.2015.00702
"Rodriguez-del-Bosque, L.A.; Smith, J.W., Jr","Exploration for parasites of gramineous stalkborers (Lepidoptera: Pyralidae) in southeastern Mexico, July 1989.",Texas Agricultural Experiment Station Progress Report,J,NA
"Banerjee, Swarnendu; Sarkar, Ram Rup; Chattopadhyay, Joydev",Effect of copper contamination on zooplankton epidemics,JOURNAL OF THEORETICAL BIOLOGY,J,https://doi.org/10.1016/j.jtbi.2019.02.016
"Marino, John A., Jr.",Host food resource supplementation increases echinostome infection in larval anurans,PARASITOLOGY RESEARCH,J,https://doi.org/10.1007/s00436-016-5234-8
"TU, JC; FORD, RE",INFLUENCE OF HOST NUTRITION ON SUSCEPTIBILITY OF MULTIPLICATION IN AND SYMPTOM EXPRESSION BY CORN TO INFECTION BY MAIZE DWARF MOSAIC VIRUS,PHYTOPATHOLOGY,J,NA
"Schneider, C. C.",Experimental infection with Giardia muris.,"Proceedings of the First International Congress of Parasitology (Roma, 21-26 September, 1964).",B,NA
"Peter, C.; Singh, I.; Channabasavanna, G.P.",Effect of host plant on the behaviour of Palexorista solennis (Diptera: Tachinidae).,University of Agricultural Sciences Bangalore Current Research,J,NA
"CANNON, LRG",SOME ECOLOGICAL RELATIONSHIPS OF LARVAL ASCARIDOIDS FROM SOUTHEASTERN QUEENSLAND MARINE FISHES,INTERNATIONAL JOURNAL FOR PARASITOLOGY,J,https://doi.org/10.1016/0020-7519(77)90052-2
"Williamson, Kim C.; Levine, Rodney L.; Miller, Louis H.",PARASITE PATHOGENESIS Even malaria parasites watch their host's diet,"NATURE MICROBIOLOGY",J,https://doi.org/10.1038/s41564-017-0105-3
"Dittmer, Jessica; Brucker, Robert M.",When your host shuts down: larval diapause impacts host-microbiome interactions in Nasonia vitripennis,MICROBIOME,J,https://doi.org/10.1186/s40168-021-01037-6
"Monello, Ryan J.; Gompper, Matthew E.",Effects of resource availability and social aggregation on the species richness of raccoon endoparasite infracommunities,OIKOS,J,https://doi.org/10.1111/j.1600-0706.2011.19260.x
"Nathin, M A",Interrelationships between host nutrition and parasitic infection (literature review).,Paediatrica Indonesiana,J,NA
"Anderson, Tavis K.; Sukhdeo, Michael V. K.",Host Centrality in Food Web Networks Determines Parasite Diversity,PLOS ONE,J,https://doi.org/10.1371/journal.pone.0026798
"Potrykus, Joanna; Stead, David; MacCallum, Donna M.; Urgast, Dagmar S.; Raab, Andrea; van Rooijen, Nico; Feldmann, Joerg; Brown, Alistair J. P.",Fungal Iron Availability during Deep Seated Candidiasis Is Defined by a Complex Interplay Involving Systemic and Local Events,PLOS PATHOGENS,J,https://doi.org/10.1371/journal.ppat.1003676
"Wilson, Kenneth; Holdbrook, Robert; Reavey, Catherine E.; Randall, Joanna L.; Tummala, Yamini; Ponton, Fleur; Simpson, Stephen J.; Smith, Judith A.; Cotter, Sheena C.",Osmolality as a Novel Mechanism Explaining Diet Effects on the Outcome of Infection with a Blood Parasite,CURRENT BIOLOGY,J,https://doi.org/10.1016/j.cub.2020.04.058
"D'Offay, J. M.",The effects of fasting and diet on the host response to infectious bovine rhinotracheitis virus infection in cattle.,"Dissertation Abstracts International, B",J,NA
"Krishna, G.V.R.; Rao, B.R.",Post helminthic infectional changes in the reserve food products of Melanoides tuberculatus.,Indian Journal of Parasitology,J,NA
"Zhang, Ji; Friman, Ville-Petri; Laakso, Jouni; Mappes, Johanna",Interactive effects between diet and genotypes of host and pathogen define the severity of infection,ECOLOGY AND EVOLUTION,J,https://doi.org/10.1002/ece3.356
"PAYNE, SM",IRON AND VIRULENCE IN THE FAMILY ENTEROBACTERIACEAE,CRC CRITICAL REVIEWS IN MICROBIOLOGY,J,https://doi.org/10.3109/10408418809104468
"Weinberg, ED",The role of iron in protozoan and fungal infectious diseases,JOURNAL OF EUKARYOTIC MICROBIOLOGY,J,https://doi.org/10.1111/j.1550-7408.1999.tb05119.x
"Niu, Qinwang; Li, Shihong; Chen, Dali; Chen, Qiwei; Chen, Jianping",Iron acquisition in Leishmania and its crucial role in infection,PARASITOLOGY,J,https://doi.org/10.1017/S0031182016000858
"Bartoli, Pierre",Digenetic trematodes as bio-indicators for yellow-legged gulls in Corsica (western Mediterranean).,"Estatus y conservacion de aves marinas: ecogeografia y plan de accion para el mediterraneo. Actas del 2 Simposio Aves Marinas del Mediterraneo, Calvia, 21-26 de marzo de 1989.",B,NA
"You, LC; Suthers, PF; Yin, J",Effects of Escherichia coli physiology on growth of phage T7 in vivo and in silico,JOURNAL OF BACTERIOLOGY,J,https://doi.org/10.1128/JB.184.7.1888-1894.2002
"Escoll, Pedro; Rolando, Monica; Buchrieser, Carmen",Modulation of Host Autophagy during Bacterial Infection: Sabotaging Host Munitions for Pathogen Nutrition,FRONTIERS IN IMMUNOLOGY,J,https://doi.org/10.3389/fimmu.2016.00081
"LOO, VG; LALONDE, RG",ROLE OF IRON IN INTRACELLULAR GROWTH OF TRYPANOSOMA-CRUZI,INFECTION AND IMMUNITY,J,https://doi.org/10.1128/IAI.45.3.726-730.1984
"Glanfield, Amber; McManus, Donald P.; Anderson, Greg J.; Jones, Malcolm K.",Pumping iron: a potential target for novel therapeutics against schistosomes,TRENDS IN PARASITOLOGY,J,https://doi.org/10.1016/j.pt.2007.08.018
"Dargie, J. D.",Blood protein turnover in parasitized ruminants. The influence of host nutrition.,"Isotopes and radiation in parasitology IV. Proceedings of an Advisory Group Meeting, Cambridge, UK, 10-14 September 1979, Organized by the Joint FAO/IAEA Division of Atomic Energy in Food and Agriculture. (Panel Proceedings Series).",J,NA
"Abdallah, Abedin; Elemba, Evera; Zhong, Qingzhen; Sun, Zewei",Gastrointestinal Interaction between Dietary Amino Acids and Gut Microbiota: With Special Emphasis on Host Nutrition,CURRENT PROTEIN & PEPTIDE SCIENCE,J,https://doi.org/10.2174/1389203721666200212095503
"MCCLURE, MA; VIGLIERCHIO, DR",INFLUENCE OF HOST NUTRITION AND INTENSITY OF INFECTION ON SEX RATIO AND DEVELOPMENT OF MELOIDOGYNE INCOGNITA IN STERILE AGAR CULTURES OF EXCISED CUCUMBER ROOTS,NEMATOLOGICA,J,https://doi.org/10.1163/187529266X00662
RAHMAN H U; ZALUCKI M P,PARASITOID RECORDS FOR EUPLOEA-CORE-CORINNA LEPIDOPTERA NYMPHALIDAE IN SOUTHEASTERN QUEENSLAND AUSTRALIA,Australian Entomological Magazine,J,NA
"Beck, MA; Levander, OA",Dietary oxidative stress and the potentiation of viral infection,ANNUAL REVIEW OF NUTRITION,J,https://doi.org/10.1146/annurev.nutr.18.1.93
International Atomic Energy Agency,Nuclear techniques in the study and control of parasitic diseases of livestock.,Nuclear techniques in the study and control of parasitic diseases of livestock.,B,NA
"Dianne, L.; Bollache, L.; Lagrue, C.; Franceschi, N.; Rigaud, T.",Larval size in acanthocephalan parasites: influence of intraspecific competition and effects on intermediate host behavioural changes.,Parasites and Vectors,J,NA
"Kyriazakis, I.; Doeschl-Wilson, A.",Anorexia during infection in mammals: variation and its sources.,Voluntary feed intake in pigs,B,NA
"Kim, Don-Kyu; Jeong, Jae-Ho; Lee, Ji-Min; Kim, Kwang Soo; Park, Seung-Hwan; Kim, Yong Deuk; Koh, Minseob; Shin, Minsang; Jung, Yoon Seok; Kim, Hyung-Seok; Lee, Tae-Hoon; Oh, Byung-Chul; Kim, Jae Il; Park, Hwan Tae; Jeong, Won-Il; Lee, Chul-Ho; Park, Seung Bum; Min, Jung-Joon; Jung, Sook-In; Choi, Seok-Yong; Choy, Hyon E.; Choi, Hueng-Sik",Inverse agonist of estrogen-related receptor gamma controls Salmonella typhimurium infection by modulating host iron homeostasis,"NATURE MEDICINE",J,https://doi.org/10.1038/nm.3483
"Singhvi, A.; Crompton, D. W. T.",Growth responses of Moniliformis (Acanthocephala) to host dietary monosaccharides.,"European Federation of Parasitologists: Proceedings of the 3rd European Multicolloquium of Parasitology, Cambridge, UK, 7-13 September, 1980. Abstracts of papers delivered at Colloquia and Seminars.",J,NA
"Boddington, M. J.; Mettrick, D. F.","Hymenolepis diminuta: production, reproduction and energy.","Annual Meeting of the Canadian Society of Zoologists, University of Regina, Saskatchewan, 8-11 June, 1976. Abstracts of Symposia and contributed papers.",J,NA
"WEATHERS, L. G.; HARJUNG, M. K.; PLATT, R. G.",Some effects of host nutrition on symptoms of exocortis [in Citrus limon on Poncirus trifoliata rootstock],INT ORGAN CITRUS VIROL PROC CONF,J,NA
"OTEIFA, BA","INFLUENCE OF POTASSIUM NUTRITION OF THE HOST ON THE REACTION OF LIMA BEAN PLANTS TO INFECTION BY A ROOT-KNOT NEMATODE, MELOIDOGYNE-INCOGNITA",PHYTOPATHOLOGY,J,NA
"Randall, J.; Cable, J.; Guschina, I. A.; Harwood, J. L.; Lello, J.",Endemic infection reduces transmission potential of an epidemic parasite during co-infection,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,J,https://doi.org/10.1098/rspb.2013.1500
"Clark, Martha A.; Goheen, Morgan M.; Cerami, Carla",Influence of host iron status on Plasmodium falciparum infection,FRONTIERS IN PHARMACOLOGY,J,https://doi.org/10.3389/fphar.2014.00084
"NEUSER, V",EFFECT OF HOST DIET ON ASPICULURIS-TETRAPTERA-INFECTION OF MOUSE,ZEITSCHRIFT FUR PARASITENKUNDE-PARASITOLOGY RESEARCH,J,https://doi.org/10.1007/BF00328829
"Knutie, Sarah A.; Wilkinson, Christina L.; Wu, Qiu Chang; Ortega, C. Nicole; Rohr, Jason R.",Host resistance and tolerance of parasitic gut worms depend on resource availability,OECOLOGIA,J,https://doi.org/10.1007/s00442-017-3822-7
"Jaehn, A.; Monteiro, A.R.; Lordello, L.G.E.; Barbim, D.; Demetrio, C.G.B.","Efeitos na penetracao de Meloidogyne incognita (Kofoid & White, 1919) Chitwood, 1949, em raizes de cafeeiros (Coffea arabica L.) do nitrogenio e do potassio.",Sociedade Brasileira de Nematologia Publicacao,J,NA
"Jaehn, A.; Monteiro, A.R.; Lordello, L.G.E.; Barbim, D.; Demetrio, C.G.B.","Efeito de nitrogenio e de potassio em Meloidogyne incognita (Kofoid & White, 1919) Chitwood, 1949, como parasito de cafeeiro.",Sociedade Brasileira de Nematologia Publicacao,J,NA
